prediction_period,team_id,scheduled_opponents,opponent_count,fixture_ids,validation_status
2025-05-19 00:00:00+00:00,team:cloud9,"[""team:team_liquid""]",1,"[""fixture:9bd6784e78afa6025310""]",PASS
2025-05-19 00:00:00+00:00,team:flyquest,"[""team:shopify_rebellion""]",1,"[""fixture:9e6f75b94de4fec79cd6""]",PASS
2025-05-19 00:00:00+00:00,team:shopify_rebellion,"[""team:flyquest""]",1,"[""fixture:9e6f75b94de4fec79cd6""]",PASS
2025-05-19 00:00:00+00:00,team:team_liquid,"[""team:cloud9""]",1,"[""fixture:9bd6784e78afa6025310""]",PASS
2025-05-26 00:00:00+00:00,team:100_thieves,"[""team:shopify_rebellion""]",1,"[""fixture:49ecba0c7bd671326192""]",PASS
2025-05-26 00:00:00+00:00,team:dignitas,"[""team:team_liquid""]",1,"[""fixture:6e5bfe5d0ff19ae03c67""]",PASS
2025-05-26 00:00:00+00:00,team:shopify_rebellion,"[""team:100_thieves""]",1,"[""fixture:49ecba0c7bd671326192""]",PASS
2025-05-26 00:00:00+00:00,team:team_liquid,"[""team:dignitas""]",1,"[""fixture:6e5bfe5d0ff19ae03c67""]",PASS
2025-06-02 00:00:00+00:00,team:cloud9,"[""team:flyquest""]",1,"[""fixture:1076673931ead0604b54""]",PASS
2025-06-02 00:00:00+00:00,team:flyquest,"[""team:cloud9""]",1,"[""fixture:1076673931ead0604b54""]",PASS
2025-06-02 00:00:00+00:00,team:shopify_rebellion,"[""team:team_liquid""]",1,"[""fixture:56143a85697b2cbe59fc""]",PASS
2025-06-02 00:00:00+00:00,team:team_liquid,"[""team:shopify_rebellion""]",1,"[""fixture:56143a85697b2cbe59fc""]",PASS
2025-06-09 00:00:00+00:00,team:cloud9,"[""team:flyquest"",""team:shopify_rebellion""]",2,"[""fixture:ca2c64610e822c940dd3"",""fixture:e7d1ee88d0f454bea210""]",PASS
2025-06-09 00:00:00+00:00,team:flyquest,"[""team:cloud9""]",1,"[""fixture:ca2c64610e822c940dd3""]",PASS
2025-06-09 00:00:00+00:00,team:shopify_rebellion,"[""team:cloud9""]",1,"[""fixture:e7d1ee88d0f454bea210""]",PASS
2025-07-21 00:00:00+00:00,team:100_thieves,"[""team:team_liquid""]",1,"[""fixture:fcc1109246c502a7ef95""]",PASS
2025-07-21 00:00:00+00:00,team:cloud9,"[""team:lyon""]",1,"[""fixture:99bbc01331027ff5d2c6""]",PASS
